technology,parameter,value,unit,source,further description
Ammonia cracker,FOM,4.3,%/year,Linear interpolation between 2040 and 2050,
Ammonia cracker,ammonia-input,1.46,MWh_NH3/MWh_H2,Linear interpolation between 2040 and 2050,
Ammonia cracker,investment,661221.1,EUR/MW_H2,Linear interpolation between 2040 and 2050,
Ammonia cracker,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
BioSNG,C in fuel,0.36855,per unit,Linear interpolation between 2040 and 2050,
BioSNG,C stored,0.6314500000000001,per unit,Linear interpolation between 2040 and 2050,
BioSNG,CO2 stored,0.23154999999999998,tCO2/MWh_th,Linear interpolation between 2040 and 2050,
BioSNG,FOM,1.6147803278688524,%/year,Linear interpolation between 2040 and 2050,
BioSNG,VOM,1.625,EUR/MWh_th,Linear interpolation between 2040 and 2050,
BioSNG,capture rate,0.9,per unit,Linear interpolation between 2040 and 2050,
BioSNG,efficiency,0.6825,per unit,Linear interpolation between 2040 and 2050,
BioSNG,investment,1525000.0,EUR/MW_th,Linear interpolation between 2040 and 2050,
BioSNG,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
BtL,C in fuel,0.3039,per unit,Linear interpolation between 2040 and 2050,
BtL,C stored,0.6960999999999999,per unit,Linear interpolation between 2040 and 2050,
BtL,CO2 stored,0.25525,tCO2/MWh_th,Linear interpolation between 2040 and 2050,
BtL,FOM,2.909111111111111,%/year,Linear interpolation between 2040 and 2050,
BtL,VOM,1.0631,EUR/MWh_FT,Linear interpolation between 2040 and 2050,
BtL,capture rate,0.9,per unit,Linear interpolation between 2040 and 2050,
BtL,efficiency,0.43335,per unit,Linear interpolation between 2040 and 2050,
BtL,investment,2250000.0,EUR/MW_th,Linear interpolation between 2040 and 2050,
BtL,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CCGT,FOM,3.4883720931337208,%/year,Linear interpolation between 2040 and 2050,
CCGT,VOM,1.2,EUR/MWh,Linear interpolation between 2040 and 2050,
CCGT,c_b,2.1500000000000004,50oC/100oC,Linear interpolation between 2040 and 2050,
CCGT,c_v,0.15,50oC/100oC,Linear interpolation between 2040 and 2050,
CCGT,efficiency,0.655,per unit,Linear interpolation between 2040 and 2050,
CCGT,investment,860000.0,EUR/MW,Linear interpolation between 2040 and 2050,
CCGT,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CH4 (g) fill compressor station,FOM,1.7,%/year,Linear interpolation between 2040 and 2050,
CH4 (g) fill compressor station,investment,1498.9483,EUR/MW_CH4,Linear interpolation between 2040 and 2050,
CH4 (g) fill compressor station,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,electricity-input,0.01,MW_e/1000km/MW_CH4,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,investment,150.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
CH4 (g) pipeline,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,FOM,3.0000000000000004,%/year,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,electricity-input,0.01,MW_e/1000km/MW_CH4,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,investment,114.8928,EUR/MW/km,Linear interpolation between 2040 and 2050,
CH4 (g) submarine pipeline,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,FOM,3.5,%/year,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,capacity,58300.0,t_CH4,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,investment,151000000.0,EUR,Linear interpolation between 2040 and 2050,
CH4 (l) transport ship,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CH4 evaporation,FOM,3.5,%/year,Linear interpolation between 2040 and 2050,
CH4 evaporation,investment,87.5969,EUR/kW_CH4,Linear interpolation between 2040 and 2050,
CH4 evaporation,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
CH4 liquefaction,FOM,3.5,%/year,Linear interpolation between 2040 and 2050,
CH4 liquefaction,electricity-input,0.036,MWh_el/MWh_CH4,Linear interpolation between 2040 and 2050,
CH4 liquefaction,investment,232.1331,EUR/kW_CH4,Linear interpolation between 2040 and 2050,
CH4 liquefaction,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CH4 liquefaction,methane-input,1.0,MWh_CH4/MWh_CH4,Linear interpolation between 2040 and 2050,
CO2 liquefaction,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
CO2 liquefaction,carbondioxide-input,1.0,t_CO2/t_CO2,Linear interpolation between 2040 and 2050,
CO2 liquefaction,electricity-input,0.123,MWh_el/t_CO2,Linear interpolation between 2040 and 2050,
CO2 liquefaction,heat-input,0.0067,MWh_th/t_CO2,Linear interpolation between 2040 and 2050,
CO2 liquefaction,investment,16.0306,EUR/t_CO2/h,Linear interpolation between 2040 and 2050,
CO2 liquefaction,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CO2 pipeline,FOM,0.9,%/year,Linear interpolation between 2040 and 2050,
CO2 pipeline,investment,2000.0,EUR/(tCO2/h)/km,Linear interpolation between 2040 and 2050,
CO2 pipeline,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
CO2 storage tank,FOM,1.0,%/year,Linear interpolation between 2040 and 2050,
CO2 storage tank,investment,2528.172,EUR/t_CO2,Linear interpolation between 2040 and 2050,
CO2 storage tank,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
CO2 submarine pipeline,FOM,0.5,%/year,Linear interpolation between 2040 and 2050,
CO2 submarine pipeline,investment,4000.0,EUR/(tCO2/h)/km,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,FOM,0.9265,%/year,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,efficiency,0.7211,per unit,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,investment,856985.2314,EUR/MW,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-bicharger,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-store,FOM,0.42999999999999994,%/year,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-store,investment,4935.1364,EUR/MWh,Linear interpolation between 2040 and 2050,
Compressed-Air-Adiabatic-store,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Concrete-charger,FOM,1.075,%/year,Linear interpolation between 2040 and 2050,
Concrete-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
Concrete-charger,investment,130599.3799,EUR/MW,Linear interpolation between 2040 and 2050,
Concrete-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Concrete-discharger,FOM,0.2688,%/year,Linear interpolation between 2040 and 2050,
Concrete-discharger,efficiency,0.4343,per unit,Linear interpolation between 2040 and 2050,
Concrete-discharger,investment,522397.5196,EUR/MW,Linear interpolation between 2040 and 2050,
Concrete-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Concrete-store,FOM,0.3308,%/year,Linear interpolation between 2040 and 2050,
Concrete-store,investment,21777.6021,EUR/MWh,Linear interpolation between 2040 and 2050,
Concrete-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
FT fuel transport ship,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
FT fuel transport ship,capacity,75000.0,t_FTfuel,Linear interpolation between 2040 and 2050,
FT fuel transport ship,investment,31700578.34,EUR,Linear interpolation between 2040 and 2050,
FT fuel transport ship,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,FOM,3.0000000000000004,%/year,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,VOM,2.6500000000000004,EUR/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,capture rate,0.9,per unit,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,carbondioxide-input,0.2885,t_CO2/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,efficiency,0.799,per unit,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,electricity-input,0.007,MWh_el/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,hydrogen-input,1.345,MWh_H2/MWh_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,investment,523116.10919999995,EUR/MW_FT,Linear interpolation between 2040 and 2050,
Fischer-Tropsch,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
Gasnetz,FOM,2.5,%/year,Linear interpolation between 2040 and 2050,
Gasnetz,investment,28.0,EUR/kWGas,Linear interpolation between 2040 and 2050,
Gasnetz,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (crude),FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (crude),investment,135.8346,EUR/m^3,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (crude),lifetime,30.0,years,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (product),FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (product),investment,169.7933,EUR/m^3,Linear interpolation between 2040 and 2050,
General liquid hydrocarbon storage (product),lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,efficiency,0.9274,per unit,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,investment,376395.0215,EUR/MW,Linear interpolation between 2040 and 2050,
Gravity-Brick-bicharger,lifetime,41.7,years,Linear interpolation between 2040 and 2050,
Gravity-Brick-store,investment,142545.4794,EUR/MWh,Linear interpolation between 2040 and 2050,
Gravity-Brick-store,lifetime,41.7,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-bicharger,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-bicharger,efficiency,0.9014,per unit,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-bicharger,investment,331163.0018,EUR/MW,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-bicharger,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-store,investment,110277.2796,EUR/MWh,Linear interpolation between 2040 and 2050,
Gravity-Water-Aboveground-store,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,FOM,1.5,%/year,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,efficiency,0.9014,per unit,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,investment,819830.358,EUR/MW,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-bicharger,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-store,investment,86934.3265,EUR/MWh,Linear interpolation between 2040 and 2050,
Gravity-Water-Underground-store,lifetime,60.0,years,Linear interpolation between 2040 and 2050,
H2 (g) fill compressor station,FOM,1.7,%/year,Linear interpolation between 2040 and 2050,
H2 (g) fill compressor station,investment,4478.0,EUR/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) fill compressor station,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,FOM,0.126404494,%/year,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,electricity-input,0.0175,MW_e/1000km/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,investment,712.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 (g) pipeline,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,FOM,1.91665,%/year,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,electricity-input,0.0175,MW_e/1000km/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,investment,105.8799,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 (g) pipeline repurposed,lifetime,50.0,years,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,electricity-input,0.0175,MW_e/1000km/MW_H2,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,investment,329.3682,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 (g) submarine pipeline,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
H2 (l) storage tank,FOM,2.0,%/year,Linear interpolation between 2040 and 2050,
H2 (l) storage tank,investment,750.075,EUR/MWh_H2,Linear interpolation between 2040 and 2050,
H2 (l) storage tank,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,FOM,4.0,%/year,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,capacity,11000.0,t_H2,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,investment,361223561.6,EUR,Linear interpolation between 2040 and 2050,
H2 (l) transport ship,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 evaporation,FOM,2.5,%/year,Linear interpolation between 2040 and 2050,
H2 evaporation,investment,78.35040000000001,EUR/kW_H2,Linear interpolation between 2040 and 2050,
H2 evaporation,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 liquefaction,FOM,2.5,%/year,Linear interpolation between 2040 and 2050,
H2 liquefaction,electricity-input,0.203,MWh_el/MWh_H2,Linear interpolation between 2040 and 2050,
H2 liquefaction,hydrogen-input,1.017,MWh_H2/MWh_H2,Linear interpolation between 2040 and 2050,
H2 liquefaction,investment,609392.1,EUR/MW_H2,Linear interpolation between 2040 and 2050,
H2 liquefaction,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
H2 pipeline,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
H2 pipeline,investment,267.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
H2 pipeline,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVAC overhead,FOM,0.0,%/year,Linear interpolation between 2040 and 2050,
HVAC overhead,investment,546.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
HVAC overhead,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVDC inverter pair,FOM,0.15,%/year,Linear interpolation between 2040 and 2050,
HVDC inverter pair,investment,262500.0,EUR/MW,Linear interpolation between 2040 and 2050,
HVDC inverter pair,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVDC overhead,FOM,2.488687783,%/year,Linear interpolation between 2040 and 2050,
HVDC overhead,investment,2210.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
HVDC overhead,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
HVDC submarine,FOM,2.487562189,%/year,Linear interpolation between 2040 and 2050,
HVDC submarine,investment,2010.0,EUR/MW/km,Linear interpolation between 2040 and 2050,
HVDC submarine,lifetime,40.0,years,Linear interpolation between 2040 and 2050,
Haber-Bosch,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
Haber-Bosch,VOM,0.02,EUR/MWh_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,electricity-input,0.2473,MWh_el/MWh_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,hydrogen-input,1.1484,MWh_H2/MWh_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,investment,413000.0,EUR/MW_NH3,Linear interpolation between 2040 and 2050,
Haber-Bosch,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Haber-Bosch,nitrogen-input,0.1597,t_N2/MWh_NH3,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,FOM,1.075,%/year,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,investment,130599.3799,EUR/MW,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,FOM,0.2688,%/year,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,efficiency,0.4444,per unit,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,investment,522397.5196,EUR/MW,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-store,FOM,0.3308,%/year,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-store,investment,85236.1065,EUR/MWh,Linear interpolation between 2040 and 2050,
HighT-Molten-Salt-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Hydrogen-charger,FOM,0.6345,%/year,Linear interpolation between 2040 and 2050,
Hydrogen-charger,efficiency,0.6963,per unit,Linear interpolation between 2040 and 2050,
Hydrogen-charger,investment,314443.3087,EUR/MW,Linear interpolation between 2040 and 2050,
Hydrogen-charger,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,FOM,0.5812,%/year,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,efficiency,0.4869,per unit,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,investment,343278.7213,EUR/MW,Linear interpolation between 2040 and 2050,
Hydrogen-discharger,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Hydrogen-store,FOM,0.43,%/year,Linear interpolation between 2040 and 2050,
Hydrogen-store,investment,4329.3505,EUR/MWh,Linear interpolation between 2040 and 2050,
Hydrogen-store,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
LNG storage tank,FOM,2.0,%/year,Linear interpolation between 2040 and 2050,
LNG storage tank,investment,611.5857,EUR/m^3,Linear interpolation between 2040 and 2050,
LNG storage tank,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC chemical,investment,2264.327,EUR/t,Linear interpolation between 2040 and 2050,
LOHC chemical,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation,FOM,3.0000000000000004,%/year,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation,investment,50728.0303,EUR/MW_H2,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation (small scale),FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation (small scale),investment,759908.1494,EUR/MW_H2,Linear interpolation between 2040 and 2050,
LOHC dehydrogenation (small scale),lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,FOM,3.0,%/year,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,electricity-input,0.004,MWh_el/t_HLOHC,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,hydrogen-input,1.867,MWh_H2/t_HLOHC,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,investment,51259.544,EUR/MW_H2,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
LOHC hydrogenation,lohc-input,0.944,t_LOHC/t_HLOHC,Linear interpolation between 2040 and 2050,
LOHC loaded DBT storage,FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
LOHC loaded DBT storage,investment,149.2688,EUR/t,Linear interpolation between 2040 and 2050,
LOHC loaded DBT storage,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
LOHC transport ship,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
LOHC transport ship,capacity,75000.0,t_LOHC,Linear interpolation between 2040 and 2050,
LOHC transport ship,investment,31700578.34,EUR,Linear interpolation between 2040 and 2050,
LOHC transport ship,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
LOHC unloaded DBT storage,FOM,6.25,%/year,Linear interpolation between 2040 and 2050,
LOHC unloaded DBT storage,investment,132.2635,EUR/t,Linear interpolation between 2040 and 2050,
LOHC unloaded DBT storage,lifetime,30.0,years,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,FOM,2.4427,%/year,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,efficiency,0.8832,per unit,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,investment,116706.6881,EUR/MW,Linear interpolation between 2040 and 2050,
Lead-Acid-bicharger,lifetime,12.0,years,Linear interpolation between 2040 and 2050,
Lead-Acid-store,FOM,0.2542,%/year,Linear interpolation between 2040 and 2050,
Lead-Acid-store,investment,290405.7211,EUR/MWh,Linear interpolation between 2040 and 2050,
Lead-Acid-store,lifetime,12.0,years,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,FOM,0.366,%/year,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,investment,430875.3739,EUR/MW,Linear interpolation between 2040 and 2050,
Liquid-Air-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,FOM,0.5212,%/year,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,efficiency,0.55,per unit,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,investment,302529.5178,EUR/MW,Linear interpolation between 2040 and 2050,
Liquid-Air-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Liquid-Air-store,FOM,0.3208,%/year,Linear interpolation between 2040 and 2050,
Liquid-Air-store,investment,144015.52,EUR/MWh,Linear interpolation between 2040 and 2050,
Liquid-Air-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,FOM,2.1198,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,efficiency,0.9193,per unit,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,investment,73865.5037,EUR/MW,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-bicharger,lifetime,16.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-store,FOM,0.044700000000000004,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-store,investment,214189.7678,EUR/MWh,Linear interpolation between 2040 and 2050,
Lithium-Ion-LFP-store,lifetime,16.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,FOM,2.1198,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,efficiency,0.9193,per unit,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,investment,73865.5037,EUR/MW,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-bicharger,lifetime,13.0,years,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-store,FOM,0.038,%/year,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-store,investment,244164.0581,EUR/MWh,Linear interpolation between 2040 and 2050,
Lithium-Ion-NMC-store,lifetime,13.0,years,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,FOM,1.075,%/year,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,investment,130599.3799,EUR/MW,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-charger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,FOM,0.2688,%/year,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,efficiency,0.5394,per unit,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,investment,522397.5196,EUR/MW,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-discharger,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-store,FOM,0.3308,%/year,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-store,investment,52569.7034,EUR/MWh,Linear interpolation between 2040 and 2050,
LowT-Molten-Salt-store,lifetime,35.0,years,Linear interpolation between 2040 and 2050,
MeOH transport ship,FOM,5.0,%/year,Linear interpolation between 2040 and 2050,
MeOH transport ship,capacity,75000.0,t_MeOH,Linear interpolation between 2040 and 2050,
MeOH transport ship,investment,31700578.34,EUR,Linear interpolation between 2040 and 2050,
MeOH transport ship,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
Methanol steam reforming,FOM,4.0,%/year,Linear interpolation between 2040 and 2050,
Methanol steam reforming,investment,16318.4311,EUR/MW_H2,Linear interpolation between 2040 and 2050,
Methanol steam reforming,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
Methanol steam reforming,methanol-input,1.201,MWh_MeOH/MWh_H2,Linear interpolation between 2040 and 2050,
NH3 (l) storage tank incl. liquefaction,FOM,2.0,%/year,Linear interpolation between 2040 and 2050,
NH3 (l) storage tank incl. liquefaction,investment,161.932,EUR/MWh_NH3,Linear interpolation between 2040 and 2050,
NH3 (l) storage tank incl. liquefaction,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,FOM,4.0,%/year,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,capacity,53000.0,t_NH3,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,investment,74461941.34,EUR,Linear interpolation between 2040 and 2050,
NH3 (l) transport ship,lifetime,20.0,years,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,FOM,2.1198,%/year,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,efficiency,0.9,per unit,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,investment,73865.5037,EUR/MW,Linear interpolation between 2040 and 2050,
Ni-Zn-bicharger,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
Ni-Zn-store,FOM,0.2262,%/year,Linear interpolation between 2040 and 2050,
Ni-Zn-store,investment,242589.0145,EUR/MWh,Linear interpolation between 2040 and 2050,
Ni-Zn-store,lifetime,15.0,years,Linear interpolation between 2040 and 2050,
OCGT,FOM,3.3564703160000002,%/year,Linear interpolation between 2040 and 2050,
OCGT,VOM,2.9,EUR/MWh,Linear interpolation between 2040 and 2050,
OCGT,efficiency,0.43,per unit,Linear interpolation between 2040 and 2050,
OCGT,investment,700000.0,EUR/MW,Linear interpolation between 2040 and 2050,
OCGT,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
PHS,FOM,1.6,%/year,Linear interpolation between 2040 and 2050,
PHS,efficiency,0.75,per unit,Linear interpolation between 2040 and 2050,
PHS,investment,2000000.0,EUR/MWel,Linear interpolation between 2040 and 2050,
PHS,lifetime,25.0,years,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,FOM,0.366,%/year,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,efficiency,0.99,per unit,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,investment,689970.037,EUR/MW,Linear interpolation between 2040 and 2050,
Pumped-Heat-charger,lifetime,33.0,years,Linear interpolation between 2040 and 2050,
Pumped-Heat-discharger,FOM,0.5212,%/year,Linear interpolation between 2040 and 2050,
