VLAIO / PyPSA,electricity,coal,coke,solid biomass,methane,methanol,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
chemicals-CO,,,,,,,,,,,,,
chemicals-CO-import,,,,,,,,,,,,,
chemicals-ethanol,,,,,,1,,,,,,,
chemicals-ethanol-import,,,,,,1,,,,,,,
chemicals-H2,,,,,,,1,,,,,,
chemicals-methanol,,,,,,1,,,,,,,
crude-oil,,,,,,,,,0,,,,
electricity,1,,,,,,,,,,,,
electricity-for-CC,0,,,,,,,,,,,,
ethane-import,,,,,,,,,0,,,,
gaseous-fuel-bio,,,,,1,,,,,,,,
gaseous-fuel-fossil,,,,,1,,,,,,,,
gaseous-fuel-syn,,,,,0,,,,,,,,
gaseous-fuel-syn-Cbased,,,,,1,,,,,,,,
gaseous-fuel-syn-nonCbased,,,,,1,,,,,,,,
H2-synfuel,,,,,,,0,,,,,,
heat-high,,,,,1,,,,,,,,
heat-low,,,,,,,,1,,,,,
heat-medium,0.5,,,,0.5,,,,,,,,
liquid-fuel-bio,,,,,,,,,1,,,,
liquid-fuel-fossil,,,,,,,,,1,,,,
liquid-fuel-syn,,,,,,,,,0,,,,
liquid-fuel-syn-Cbased,,,,,,,,,1,,,,
liquid-fuel-syn-nonCbased,,,,,,,,,1,,,,
refineries-LPG,,,,,,,,,1,,,,
refineries-naphtha,,,,,,,,,1,,,,
refineries-naphtha-import,,,,,,,,,0,,,,
solid-fuel-bio,,,,1,,,,,,,,,
solid-fuel-fossil,,1,,,,,,,,,,,
solid-fuel-waste,,,,,,,,,,,,,
,,,,,,,,,,,,,